Timestamp,Weather_Temperature,Weather_Humidity,Weather_Precipitation,Weather_Wind_Speed,Weather_Solar_Radiation,Building_Size,Building_Age,Building_Construction,Building_Insulation,Building_Usage_Type,Occupancy_Count,Equipment_Usage_HVAC,Equipment_Usage_Lighting,Equipment_Usage_Machinery,Operational_Schedule,Energy_Consumption,Electricity_Price,Gas_Price,Utility_Tariff_Type,Geographic_Location,Daylight_Hours,Air_Quality_Index,Production_Output
2024-01-01 00:00:00,29,79,2.5050903074634205,11,646,8626,18,Concrete,High,Office,106,234,478,50,Mon-Fri 9am-5pm,1726,0.11508770654476935,0.07433532121700928,Time-of-Use,Mumbai,10,46,860
2024-01-01 01:00:00,14,49,2.4871147129186566,13,678,6646,11,Steel,Medium,Warehouse,163,100,223,49,Mon-Fri 9am-5pm,1745,0.1111300723139174,0.07036262561893154,Time-of-Use,Delhi,9,24,893
2024-01-01 02:00:00,10,66,4.044152281398353,16,754,6992,17,Brick,Low,Office,108,295,310,32,Mon-Fri 9am-5pm,1683,0.10642733245189555,0.07585613850667847,Time-of-Use,Gurugram,10,37,1060
2024-01-01 03:00:00,29,67,3.1490320808978067,18,541,8813,15,Wood,High,Warehouse,114,146,279,61,Mon-Fri 9am-5pm,1134,0.11058452270895718,0.05222108549147828,Time-of-Use,Kolkata,9,40,1138
2024-01-01 04:00:00,11,65,1.0099896363227456,16,529,5091,13,Concrete,Medium,Office,71,291,472,84,Mon-Fri 9am-5pm,1856,0.12767377944980346,0.06046216843615265,Time-of-Use,Agra,8,33,1088
2024-01-01 05:00:00,25,60,0.799322338300173,14,685,8267,18,Concrete,Low,Warehouse,194,100,356,92,Sat-Sun 9am-5pm,1582,0.13885025682215207,0.06447157973513432,Flat-Rate,Ghaziabad,9,43,1155
2024-01-01 06:00:00,16,45,0.06667002248878784,13,980,7706,13,Steel,High,Office,55,228,482,94,Sat-Sun 9am-5pm,1889,0.12445305596408703,0.061087751640621295,Flat-Rate,Pune,11,35,979
2024-01-01 07:00:00,11,60,3.64520114615793,16,712,5359,12,Brick,Medium,Warehouse,149,215,491,41,Sat-Sun 9am-5pm,1539,0.14612076664571644,0.05636684090883804,Flat-Rate,Banglore,11,47,871
2024-01-01 08:00:00,28,64,3.50757201619557,19,910,9922,17,Wood,Low,Office,157,266,353,46,Sat-Sun 9am-5pm,1421,0.13002149449177947,0.05962907112862982,Flat-Rate,Chennai,11,45,967
2024-01-01 09:00:00,24,53,0.8771442869076235,14,521,7439,19,Concrete,High,Warehouse,179,212,396,70,Sat-Sun 9am-5pm,1174,0.10832993785788045,0.07512320593569695,Flat-Rate,Indore,8,22,947
